source_path,proposed_path,category,action,audit_note
".github/workflows/app-edit-permission.yml","records/workflows/app-edit-permission.yml","2","move","停止判定必須。現行参照・トリガー確認後に移動"
".github/workflows/commute-access-audit.yml","records/workflows/commute-access-audit.yml","2","move","停止判定必須。現行参照・トリガー確認後に移動"
".github/workflows/commute-dataverse.yml","records/workflows/commute-dataverse.yml","2","move","停止判定必須。現行参照・トリガー確認後に移動"
".github/workflows/commute-read-grant.yml","records/workflows/commute-read-grant.yml","2","move","停止判定必須。現行参照・トリガー確認後に移動"
".github/workflows/commute-readback.yml","records/workflows/commute-readback.yml","2","move","停止判定必須。現行参照・トリガー確認後に移動"
".github/workflows/current-app-postpublish-docs.yml",".github/workflows/current-app-postpublish-docs.yml","1","retain","現行App ID用。配置維持"
".github/workflows/current-app-test-gate.yml",".github/workflows/current-app-test-gate.yml","1","retain","現行App ID用。配置維持"
".github/workflows/nonpdf-regression-v124.yml","records/workflows/nonpdf-regression-v124.yml","2","move","停止判定必須。現行参照・トリガー確認後に移動"
".github/workflows/payroll-app-acceptance.yml","records/workflows/payroll-app-acceptance.yml","2","move","停止判定必須。現行参照・トリガー確認後に移動"
".github/workflows/payroll-app-readback.yml","records/workflows/payroll-app-readback.yml","2","move","停止判定必須。現行参照・トリガー確認後に移動"
".github/workflows/payrollledger-dataverse.yml","records/workflows/payrollledger-dataverse.yml","2","move","停止判定必須。現行参照・トリガー確認後に移動"
".github/workflows/phase1-5-oidc-smoke.yml","records/workflows/phase1-5-oidc-smoke.yml","2","move","停止判定必須。現行参照・トリガー確認後に移動"
".github/workflows/phase1-5-roundtrip.yml","records/workflows/phase1-5-roundtrip.yml","2","move","停止判定必須。現行参照・トリガー確認後に移動"
".github/workflows/phase1-5-share-diagnostics.yml","records/workflows/phase1-5-share-diagnostics.yml","2","move","停止判定必須。現行参照・トリガー確認後に移動"
".github/workflows/phase1-5-target-metadata.yml","records/workflows/phase1-5-target-metadata.yml","2","move","停止判定必須。現行参照・トリガー確認後に移動"
".github/workflows/phase1-5-target-p0.yml","records/workflows/phase1-5-target-p0.yml","2","move","停止判定必須。現行参照・トリガー確認後に移動"
".github/workflows/phase1-5-unpack-baseline.yml","records/workflows/phase1-5-unpack-baseline.yml","2","move","停止判定必須。現行参照・トリガー確認後に移動"
".github/workflows/phase2-source-reconstruction.yml","records/workflows/phase2-source-reconstruction.yml","2","move","停止判定必須。現行参照・トリガー確認後に移動"
".github/workflows/powerapps-e2e.yml","records/workflows/powerapps-e2e.yml","2","move","停止判定必須。現行参照・トリガー確認後に移動"
".github/workflows/remaining-regression-v123.yml","records/workflows/remaining-regression-v123.yml","2","move","停止判定必須。現行参照・トリガー確認後に移動"
".github/workflows/screens-regression-v122.yml","records/workflows/screens-regression-v122.yml","2","move","停止判定必須。現行参照・トリガー確認後に移動"
".github/workflows/staff-dataverse-acceptance.yml","records/workflows/staff-dataverse-acceptance.yml","2","move","停止判定必須。現行参照・トリガー確認後に移動"
".github/workflows/staff-dataverse.yml","records/workflows/staff-dataverse.yml","2","move","停止判定必須。現行参照・トリガー確認後に移動"
".github/workflows/staff-hybrid-acceptance.yml","records/workflows/staff-hybrid-acceptance.yml","2","move","停止判定必須。現行参照・トリガー確認後に移動"
".github/workflows/staff-identity-audit.yml","records/workflows/staff-identity-audit.yml","2","move","停止判定必須。現行参照・トリガー確認後に移動"
".github/workflows/staff-ledger-acceptance.yml","records/workflows/staff-ledger-acceptance.yml","2","move","停止判定必須。現行参照・トリガー確認後に移動"
".github/workflows/staff-master-auth-diagnostics.yml","records/workflows/staff-master-auth-diagnostics.yml","2","move","停止判定必須。現行参照・トリガー確認後に移動"
".github/workflows/staff-master-e2e.yml",".github/workflows/staff-master-e2e.yml","3","retain","別アプリ定期試験。稼働中は例外として配置維持"
".github/workflows/staff-master-finalize.yml","records/workflows/staff-master-finalize.yml","2","move","停止判定必須。現行参照・トリガー確認後に移動"
".github/workflows/staff-master-tag-documentation-repair.yml","records/workflows/staff-master-tag-documentation-repair.yml","2","move","停止判定必須。現行参照・トリガー確認後に移動"
".github/workflows/staff-master-transaction.yml","records/workflows/staff-master-transaction.yml","2","move","停止判定必須。現行参照・トリガー確認後に移動"
".github/workflows/step7-legacy-compiler-diagnostic.yml","records/workflows/step7-legacy-compiler-diagnostic.yml","2","move","停止判定必須。現行参照・トリガー確認後に移動"
".github/workflows/studio-edit-dataverse.yml","records/workflows/studio-edit-dataverse.yml","2","move","停止判定必須。現行参照・トリガー確認後に移動"
".gitignore",".gitignore","1","retain","現行の入口・設定"
"AGENTS.md","AGENTS.md","1","retain","現行の入口・設定"
"README.md","records/README-before-migration.md","2","move","旧入口全文の履歴保存。現行READMEを同名で新設"
"assets/commute-ledger/ledger-page1-template.png","assets/commute-ledger/ledger-page1-template.png","1","retain","現行帳票素材として確認"
"assets/commute-ledger/ledger-page2-template.png","assets/commute-ledger/ledger-page2-template.png","1","retain","現行帳票素材として確認"
"automation/app-edit-permission.json","records/automation/app-edit-permission.json","2","move","旧実行設定・証跡候補。現行依存確認"
"automation/change.json","records/automation/change.json","2","move","旧実行設定・証跡候補。現行依存確認"
"automation/commute-read-permission-proposal.json","records/automation/commute-read-permission-proposal.json","2","move","旧実行設定・証跡候補。現行依存確認"
"automation/commute-run.json","records/automation/commute-run.json","2","move","旧実行設定・証跡候補。現行依存確認"
"automation/dataverse-run.json","records/automation/dataverse-run.json","2","move","旧実行設定・証跡候補。現行依存確認"
"automation/evidence/step8-acceptance.json","records/automation/evidence/step8-acceptance.json","2","move","旧実行設定・証跡候補。現行依存確認"
"automation/evidence/v1.12-release.json","records/automation/evidence/v1.12-release.json","2","move","旧実行設定・証跡候補。現行依存確認"
"automation/hybrid-change.json","records/automation/hybrid-change.json","2","move","旧実行設定・証跡候補。現行依存確認"
"automation/payrollledger-run.json","records/automation/payrollledger-run.json","2","move","旧実行設定・証跡候補。現行依存確認"
"automation/release.json","records/automation/release.json","2","move","旧実行設定・証跡候補。現行依存確認"
"automation/run.json","records/automation/run.json","2","move","旧実行設定・証跡候補。現行依存確認"
"automation/studio-edit-run.json","records/automation/studio-edit-run.json","2","move","旧実行設定・証跡候補。現行依存確認"
"config/apps/staff-master.json","records/config/apps/staff-master.json","2","move","旧App ID設定。移動前に参照確認"
"config/dataverse/commute-columns.json","config/dataverse/commute-columns.json","1","retain","現行データ定義として照合"
"config/dataverse/payrollledger-columns.json","config/dataverse/payrollledger-columns.json","1","retain","現行データ定義として照合"
"docs/README.md","records/docs/README-before-migration.md","2","move","旧索引全文の履歴保存。現行索引を同名で新設"
"docs/changes/requests/README.md","docs/changes/requests/README.md","1","retain","現行正本。旧版節の切出し要確認"
"docs/design/basic-design.md","docs/design/basic-design.md","1","retain","現行正本。旧版節の切出し要確認"
"docs/design/commute-app-migration-plan.md","records/docs/design/commute-app-migration-plan.md","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/design/dataverse-commute.md","docs/design/dataverse-commute.md","1","retain","現行正本。旧版節の切出し要確認"
"docs/design/dataverse-connection-review.md","records/docs/design/dataverse-connection-review.md","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/design/dataverse-history-readiness.md","records/docs/design/dataverse-history-readiness.md","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/design/dataverse-payrollledger.md","docs/design/dataverse-payrollledger.md","1","retain","現行正本。旧版節の切出し要確認"
"docs/design/dataverse-staff-basic.md","docs/design/dataverse-staff-basic.md","1","retain","現行正本。旧版節の切出し要確認"
"docs/design/dataverse-v1.15-migration.md","records/docs/design/dataverse-v1.15-migration.md","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/design/design-system.md","docs/design/design-system.md","1","retain","現行正本。旧版節の切出し要確認"
"docs/design/detailed-design.md","docs/design/detailed-design.md","1","retain","現行正本。旧版節の切出し要確認"
"docs/design/field-inventory.json","docs/design/field-inventory.json","1","retain","現行正本。旧版節の切出し要確認"
"docs/design/fixture-inventory.json","records/docs/design/fixture-inventory.json","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/design/hybrid-test-data.md","records/docs/design/hybrid-test-data.md","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/design/images/scr-005-payroll-detail-v1.png","records/docs/design/images/scr-005-payroll-detail-v1.png","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/design/ledger-v1.17.md","records/docs/design/ledger-v1.17.md","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/handoff/CHANGELOG.md","records/docs/handoff/CHANGELOG.md","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/handoff/STATUS.md","records/docs/handoff/STATUS-history.md","2","move","履歴専用として移動。現行参照は更新"
"docs/handoff/install-v1.08.md","records/docs/handoff/install-v1.08.md","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/handoff/install-v1.11.md","records/docs/handoff/install-v1.11.md","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/implementation/lightweight-20260924-preflight.md","records/docs/implementation/lightweight-20260924-preflight.md","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/operations/control-diff-policy.md","docs/operations/control-diff-policy.md","1","retain","現行正本。旧版節の切出し要確認"
"docs/operations/current-app-request-to-release.md","docs/operations/current-app-request-to-release.md","1","retain","現行正本。旧版節の切出し要確認"
"docs/operations/library-materials-index.md","docs/operations/library-materials-index.md","1","retain","現行正本。旧版節の切出し要確認"
"docs/operations/single-app-workflow.md","docs/operations/single-app-workflow.md","1","retain","現行正本。旧版節の切出し要確認"
"docs/operations/staff-master-baseline-comparison.json","records/docs/operations/staff-master-baseline-comparison.json","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/operations/staff-master-unattended-runbook.md","records/docs/operations/staff-master-unattended-runbook.md","2","move","履歴専用として移動。現行参照は更新"
"docs/operations/templates/powerapps-baseline-diff-template.md","records/docs/operations/templates/powerapps-baseline-diff-template.md","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/operations/three-app-release-flow.md","records/docs/operations/three-app-release-flow.md","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/operations/unattended-development-implementation-plan.md","records/docs/operations/unattended-development-implementation-plan.md","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/operations/unattended-development-phase1-5-execution-plan.md","records/docs/operations/unattended-development-phase1-5-execution-plan.md","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/operations/unattended-development-phase1-5-execution-record.md","records/docs/operations/unattended-development-phase1-5-execution-record.md","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/operations/unattended-development-phase1-baseline.md","records/docs/operations/unattended-development-phase1-baseline.md","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/operations/unattended-development-step6-source-reconstruction.md","records/docs/operations/unattended-development-step6-source-reconstruction.md","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/operations/unattended-development-step7-automatic-source-deployment.md","records/docs/operations/unattended-development-step7-automatic-source-deployment.md","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/operations/unattended-development-step8-9-acceptance.md","records/docs/operations/unattended-development-step8-9-acceptance.md","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/operations/work-policy.md","docs/operations/work-policy.md","1","retain","現行正本。旧版節の切出し要確認"
"docs/poc/html-report-launch-poc.md","other/docs/poc/html-report-launch-poc.md","3","move","別用途・参考資料"
"docs/prototypes/attendance-payroll-prototype.md","other/docs/prototypes/attendance-payroll-prototype.md","3","move","別用途・参考資料"
"docs/reference/DADS_PowerApps_デザイン基準_v1.01.md","other/docs/reference/DADS_PowerApps_デザイン基準_v1.01.md","3","move","別用途・参考資料"
"docs/reference/HTML_v0.808_UI評価と改良提案_v1.01.md","other/docs/reference/HTML_v0.808_UI評価と改良提案_v1.01.md","3","move","別用途・参考資料"
"docs/reference/README.md","other/docs/reference/README.md","3","move","別用途・参考資料"
"docs/reference/html-v0.807-basic.md","other/docs/reference/html-v0.807-basic.md","3","move","別用途・参考資料"
"docs/reference/html-v0.807-detailed.md","other/docs/reference/html-v0.807-detailed.md","3","move","別用途・参考資料"
"docs/releases/2026-09-17-ui-pdf-comparison.md","records/docs/releases/2026-09-17-ui-pdf-comparison.md","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/releases/2026-09-18-regression-v1.23.md","records/docs/releases/2026-09-18-regression-v1.23.md","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/releases/2026-09-18-screens-v1.22.md","records/docs/releases/2026-09-18-screens-v1.22.md","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/requirements/non-functional-requirements.md","docs/requirements/non-functional-requirements.md","1","retain","現行正本。旧版節の切出し要確認"
"docs/requirements/open-decisions.md","docs/requirements/open-decisions.md","1","retain","現行正本。旧版節の切出し要確認"
"docs/requirements/requirement-relations.md","docs/requirements/requirement-relations.md","1","retain","現行正本。旧版節の切出し要確認"
"docs/requirements/requirements.md","docs/requirements/requirements.md","1","retain","現行正本。旧版節の切出し要確認"
"docs/requirements/screen-requirements.md","docs/requirements/screen-requirements.md","1","retain","現行正本。旧版節の切出し要確認"
"docs/requirements/traceability-matrix.md","docs/requirements/traceability-matrix.md","1","retain","現行正本。旧版節の切出し要確認"
"docs/requirements/ui-v1.20.md","records/docs/requirements/ui-v1.20.md","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/requirements/unattended-development-requirements.md","records/docs/requirements/unattended-development-requirements.md","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/testing/RESULTS.md","records/docs/testing/RESULTS.md","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/testing/acceptance.md","records/docs/testing/acceptance.md","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/testing/archive/test-policy-v1.00.md","records/docs/testing/archive/test-policy-v1.00.md","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/testing/automatable-20260919/README.md","records/docs/testing/automatable-20260919/README.md","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/testing/automatable-20260919/Screen1.pa.yaml","records/docs/testing/automatable-20260919/Screen1.pa.yaml","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/testing/automatable-20260919/Screen1.paste.yaml","records/docs/testing/automatable-20260919/Screen1.paste.yaml","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/testing/automatable-20260919/field-map.json","records/docs/testing/automatable-20260919/field-map.json","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/testing/automatable-20260919/field-source-checks.json","records/docs/testing/automatable-20260919/field-source-checks.json","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/testing/automatable-20260919/fixture-type-checks.json","records/docs/testing/automatable-20260919/fixture-type-checks.json","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/testing/automatable-20260919/integrated-summary.json","records/docs/testing/automatable-20260919/integrated-summary.json","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/testing/automatable-20260919/live-011-comparison.json","records/docs/testing/automatable-20260919/live-011-comparison.json","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/testing/automatable-20260919/live-011.json","records/docs/testing/automatable-20260919/live-011.json","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/testing/automatable-20260919/live-ledger-011.json","records/docs/testing/automatable-20260919/live-ledger-011.json","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/testing/automatable-20260919/live-ledger-comparison.json","records/docs/testing/automatable-20260919/live-ledger-comparison.json","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/testing/automatable-20260919/live-payroll-011.json","records/docs/testing/automatable-20260919/live-payroll-011.json","2","move","過去記録候補。現行参照と旧版節を確認"
"docs/testing/automatable-20260919/live-payroll-comparison.json","records/docs/testing/automatable-20260919/live-payroll-comparison.json","2","move","過去記録候補。現行参照と旧版節を確認"
